alpha           precision         recall               unknown_predictions_ratio
0.32(tape1)           0.625               0.1652892561983471                     0.7355371900826446
0.32(tape2)           0.7586206896551724               0.2018348623853211                     0.7339449541284404
0.32(tape3)           0.5526315789473685               0.14                     0.7466666666666667
0.32(tape4)           0.5833333333333334               0.1320754716981132                     0.7735849056603774
0.32(tape5)           0.6785714285714286               0.14615384615384616                     0.7846153846153846
0.32(tape6)           0.5428571428571428               0.14615384615384616                     0.7307692307692307
0.32(tape7)           0.5769230769230769               0.16129032258064516                     0.7204301075268817
0.32(tape8)           0.7391304347826086               0.1559633027522936                     0.7889908256880734
0.32(tape9)           0.7               0.2153846153846154                     0.6923076923076923
0.32(tape10)           0.6521739130434783               0.1171875                     0.8203125
0.32(tape11)           0.5116279069767442               0.1527777777777778                     0.7013888888888888
0.32(tape12)           0.48148148148148145               0.10569105691056911                     0.7804878048780488
0.32(tape13)           0.6774193548387096               0.1891891891891892                     0.7207207207207207
0.32(tape14)           0.5               0.16546762589928057                     0.6690647482014388
0.34(tape1)           0.6666666666666666               0.1652892561983471                     0.7520661157024794
0.34(tape2)           0.6666666666666666               0.1834862385321101                     0.7247706422018348
0.34(tape3)           0.6285714285714286               0.14666666666666667                     0.7666666666666667
0.34(tape4)           0.6363636363636364               0.1320754716981132                     0.7924528301886793
0.34(tape5)           0.6521739130434783               0.11538461538461539                     0.823076923076923
0.34(tape6)           0.5454545454545454               0.13846153846153847                     0.7461538461538462
0.34(tape7)           0.56               0.15053763440860216                     0.7311827956989247
0.34(tape8)           0.8421052631578947               0.14678899082568808                     0.8256880733944955
0.34(tape9)           0.6842105263157895               0.2                     0.7076923076923077
0.34(tape10)           0.7142857142857143               0.1171875                     0.8359375
0.34(tape11)           0.46153846153846156               0.125                     0.7291666666666666
0.34(tape12)           0.5185185185185185               0.11382113821138211                     0.7804878048780488
0.34(tape13)           0.7037037037037037               0.17117117117117117                     0.7567567567567568
0.34(tape14)           0.5882352941176471               0.14388489208633093                     0.7553956834532374
0.36(tape1)           0.65625               0.17355371900826447                     0.7355371900826446
0.36(tape2)           0.75               0.1926605504587156                     0.7431192660550459
0.36(tape3)           0.65625               0.14                     0.7866666666666666
0.36(tape4)           0.5909090909090909               0.12264150943396226                     0.7924528301886793
0.36(tape5)           0.6923076923076923               0.13846153846153847                     0.8
0.36(tape6)           0.6               0.13846153846153847                     0.7692307692307693
0.36(tape7)           0.6521739130434783               0.16129032258064516                     0.7526881720430108
0.36(tape8)           0.8421052631578947               0.14678899082568808                     0.8256880733944955
0.36(tape9)           0.6923076923076923               0.2076923076923077                     0.7
0.36(tape10)           0.7894736842105263               0.1171875                     0.8515625
0.36(tape11)           0.47368421052631576               0.125                     0.7361111111111112
0.36(tape12)           0.5               0.10569105691056911                     0.7886178861788617
0.36(tape13)           0.6428571428571429               0.16216216216216217                     0.7477477477477478
0.36(tape14)           0.5277777777777778               0.1366906474820144                     0.7410071942446043
0.38(tape1)           0.6129032258064516               0.15702479338842976                     0.743801652892562
0.38(tape2)           0.7692307692307693               0.1834862385321101                     0.7614678899082569
0.38(tape3)           0.7241379310344828               0.14                     0.8066666666666666
0.38(tape4)           0.631578947368421               0.11320754716981132                     0.8207547169811321
0.38(tape5)           0.7307692307692307               0.14615384615384616                     0.8
0.38(tape6)           0.6               0.13846153846153847                     0.7692307692307693
0.38(tape7)           0.5909090909090909               0.13978494623655913                     0.7634408602150538
0.38(tape8)           0.8095238095238095               0.1559633027522936                     0.8073394495412844
0.38(tape9)           0.7027027027027027               0.2                     0.7153846153846154
0.38(tape10)           0.7               0.109375                     0.84375
0.38(tape11)           0.4722222222222222               0.11805555555555555                     0.75
